Country Name,2015,2016,2017,2018,2019
Europe & Central Asia (excluding high income),6291.455947,5986.897231,6138.120639,5996.287759,6069.274073
Europe & Central Asia (IDA & IBRD countries),8009.61875,7659.549244,8575.461292,8911.87743,9058.741771
European Union,30771.65686,31456.89713,33394.5888,36054.95323,35374.14037
Faroe Islands,52637.19035,56875.28038,59387.35309,62526.49085,63068.28727
Fiji,5097.531069,5363.790267,5826.848145,6085.419795,5842.073446
Finland,42560.34568,43451.25624,46085.01747,49654.2497,48358.18078
Fragile and conflict affected situations,1663.162001,1491.080803,1549.609529,1634.929659,1861.653305
France,36702.43237,37024.21571,38687.16264,41418.17665,40408.28486
French Polynesia,19166.95948,19690.07757,20826.93125,21925.61604,21582.5892
Gabon,7047.126546,6677.070039,6921.733731,7624.277523,7441.178647
Gambia,619.5363643,650.0565013,642.5226413,696.219807,738.186752
Georgia,4086.622347,4143.401257,4418.752065,4804.054604,4741.283272
Germany,41929.75491,42948.93819,45553.93415,48916.16866,47656.19974
Ghana,1722.772828,1912.479913,2012.286626,2195.32166,2186.658227
Gibraltar,,,,,
Greece,17980.72982,17919.24264,18631.99301,19873.40152,19335.3602
Greenland,44536.35497,48181.74535,50765.74947,54545.13586,53309.20359
Grenada,8694.12438,9221.234611,9751.426612,10083.02128,10462.79292
Guam,35165.70146,35930.65949,36779.00789,37195.95031,39274.94314
Guatemala,3893.505333,4060.137847,4324.997689,4352.945933,4511.998396
Guinea,747.3569668,711.9965098,833.5986217,933.2736156,1031.341465
Guinea-Bissau,645.0668372,679.6653866,783.1231866,808.5316132,811.2164259
Guyana,5640.415606,5870.878238,6178.665044,6048.386972,6405.824434
Haiti,1411.126847,1318.402682,1395.239452,1496.38049,1352.172042
Heavily indebted poor countries (HIPC),917.2961092,894.7087647,943.1328323,985.4782107,983.9000622
High income,36586.43469,37057.80965,38776.56159,41094.85609,41342.20661
Honduras,2271.20266,2307.344684,2413.007656,2464.642415,2502.327443
Hong Kong,42432.16197,43734.19807,46160.42979,48537.56689,48359.0012
Hungary,12782.94126,13215.86053,14736.16682,16605.05705,17012.85986
IBRD only,5546.047753,5534.819533,6053.309218,6394.194843,6476.072598
Iceland,53505.69641,62854.09064,72976.373,75633.86514,69296.31444
IDA & IBRD total,4474.435253,4447.417391,4831.93006,5085.502175,5167.895238
IDA blend,1947.852468,1790.537878,1804.505594,1869.382044,2205.873619
IDA only,1023.438947,1054.100111,1110.744251,1159.061343,1186.405597
IDA total,1350.307581,1314.081774,1355.235055,1408.950168,1544.278901
India,1583.998159,1707.508929,1950.104683,1966.254552,2041.428637
Indonesia,3288.222697,3521.469435,3798.883262,3860.953531,4106.948562
Iran,4952.733555,5710.599471,6000.933464,4783.010673,3997.493545
Iraq,4440.141893,4334.420964,4759.284644,5646.689321,5671.856863
Ireland,64250.13852,64129.55715,72161.40475,80804.11232,81827.66889
Isle of Man,84753.51874,82025.94545,83481.30385,89393.82442,87127.5518
Israel,36213.10415,37671.53891,41138.47096,42362.66528,44250.63136
Italy,30639.88298,31391.56929,32844.11566,34904.10819,33812.78872
Jamaica,5339.307183,5302.295534,5605.435412,5976.903626,6030.688964
Japan,34960.63938,39375.47316,38834.05293,39751.1331,40415.95676
Jordan,4042.756781,3986.71677,4065.616287,4145.439897,4170.1144
Kazakhstan,10196.12263,7475.566887,8943.084168,9472.485273,9457.126147
Kenya,1489.119598,1554.126103,1667.484472,1836.452755,1960.408089
Kiribati,1639.852747,1742.667993,1853.051227,1912.738094,1750.997719
North Korea,,,,,
South Korea,30171.79065,30832.06281,33296.98454,35363.95082,33826.94433
Kosovo,3520.628507,3759.449591,4009.320221,4384.187964,4415.99923
Kuwait,29882.21265,27323.68907,29047.65361,32067.96238,31707.87374
Kyrgyz Republic,1105.651938,1103.274894,1221.390468,1283.520304,1421.999275
Lao PDR,2121.013391,2303.22156,2432.430595,2545.107542,2589.32081
Late-demographic dividend,8331.632708,8297.336108,9138.441345,9966.811609,10120.31252
Latin America & Caribbean,8547.237339,8241.451409,9065.548178,8778.379063,8539.397761
Latin America & Caribbean (excluding high income),8308.739117,7977.197271,8827.850105,8484.483352,8282.782909
Latin America & the Caribbean (IDA & IBRD countries),8404.377472,8082.023306,8918.302513,8620.468902,8362.634298
Latvia,13321.97531,13838.52668,15132.49583,17252.17104,17294.97516
Least developed countries: UN classification,982.8948106,966.7217829,1035.194288,1080.56178,1105.246934
Lebanon,7714.11,8089.012088,8608.21085,9174.536662,8905.880055
Lesotho,1121.198513,992.4918407,1069.366732,1170.655697,1082.057068
Liberia,692.5900824,714.6130631,699.2690957,692.2031271,658.1641808
Libya,7458.489178,7525.802993,9965.832367,11196.58548,9963.194891
Liechtenstein,167187.1573,165375.4914,170547.0923,174988.7751,166907.8393
Lithuania,14269.80399,14934.27028,16800.15102,19247.23154,19608.79439
Low & middle income,4284.856863,4274.931424,4615.000484,4853.745077,4943.248799
Low income,740.8895039,633.7929546,634.7107887,645.8460671,645.9982497
Lower middle income,1848.280293,1895.243995,2026.193041,2085.045254,2228.848059
Luxembourg,105462.0126,106899.2935,110193.2138,116926.7596,112696.6491
"Macao SAR, China",69902.96057,68911.67559,77570.98762,83588.2875,81882.69645
Madagascar,445.3200695,453.9707145,491.8668487,500.4571855,499.8188376
Malawi,539.6053632,450.5061055,495.7696834,533.2025672,580.8891398
Malaysia,9648.679794,9476.534098,9862.548066,10901.802,10920.19176
Maldives,9644.90655,9947.807447,10509.62881,11423.28384,11740.2724
Mali,838.1198694,872.4685872,924.0575317,996.3792921,971.9493186
Malta,25529.68133,26459.07709,30317.24432,33382.26775,32421.91798
Marshall Islands,3764.344262,4229.809889,4592.834576,4858.120791,5292.339855
Mauritania,1554.948979,1565.765757,1615.004013,1722.935289,1767.072711
Mauritius,9630.543784,10095.12256,10986.70341,11818.74806,11568.25334
Mexico,10021.23861,9097.923977,9649.278168,10084.79376,10369.55536
"Micronesia, Fed. Sts.",2853.076436,2979.601192,3279.10779,3566.586904,3572.659183
"Middle East, North Africa, Afghanistan & Pakistan",5125.680641,5126.053316,5279.479512,5545.888996,5412.428757
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2802.63135,2863.140578,2859.855602,2809.308942,2695.633423
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2799.454418,2858.616891,2854.661926,2804.126331,2688.96933
Middle income,4602.516827,4605.606394,4982.005756,5248.397371,5353.797758
Moldova,2749.551371,2847.087948,3453.267277,4156.44982,4405.334182
Monaco,170437.1012,173604.7536,170663.3752,188298.3157,193746.7856
Mongolia,3838.92127,3619.900264,3645.967087,4107.642885,4347.546103
Montenegro,6421.003073,6968.015394,7674.281394,8673.591281,8749.023752
Morocco,3146.247803,3140.855469,3296.526611,3501.697998,3508.097656
Mozambique,610.5637747,441.4897348,470.9385631,517.5072603,519.0925509
Myanmar,1166.733055,1229.197135,1272.822418,1298.213103,1425.989542
Namibia,4774.106509,4395.687762,5143.960723,5308.608134,4731.921032
Nauru,7747.25585,8748.156326,9656.979766,11413.7463,10801.77057
Nepal,875.5436355,877.2564547,1034.283749,1179.198432,1203.142947
Netherlands,45793.81354,46808.52915,49513.68173,53955.077,53554.90075
New Caledonia,30858.72371,30782.85444,32354.71028,34902.89688,33411.33588
New Zealand,38665.3723,40113.71954,42950.38417,43257.07692,42855.83186
Nicaragua,2074.456206,2131.687048,2182.61381,2035.165494,1958.620515
Niger,485.6625742,502.7064754,521.80413,578.5680357,561.6913043
Nigeria,2585.733607,2070.412734,1876.340271,2057.879446,3189.812865
North America,55285.56869,56112.22537,58184.85716,60890.56893,62874.61171
North Macedonia,5262.686719,5598.486226,5955.297386,6713.989254,6718.858266
Northern Mariana Islands,17665.10075,24225.47417,31225.605,26509.36284,24496.66521
Norway,74809.9658,70867.361,76131.8384,82792.84271,76430.58895
Not classified,,,,,
OECD members,35779.91233,36229.34908,37605.27062,39552.69567,39708.88646
Oman,18808.30779,17110.18975,17820.06618,19901.76156,19180.18642
Other small states,10359.11825,10813.3827,11950.97406,13025.99083,12907.61626
Pacific island small states,3722.774557,3856.704591,4099.799659,4247.090128,4136.341409
Pakistan,1380.470208,1424.691612,1519.234595,1569.338146,1390.41691
Palau,16154.05322,17150.47594,16401.78476,16166.96711,15846.79685
Panama,14082.65484,14832.36117,15694.62975,16151.32734,16477.90663
Papua New Guinea,2484.59634,2316.394798,2477.76531,2566.368337,2575.772741
Paraguay,5879.337923,5775.159634,6152.267115,6258.449916,5821.181995
Peru,6231.711503,6217.036,6736.166937,6978.491215,7037.008037
Philippines,2909.85818,2985.19564,3038.12125,3168.510366,3400.789498
Poland,12637.52203,12464.01105,13913.34029,15658.21203,15874.52205
Portugal,19215.7813,19980.28089,21442.38428,23541.14011,23343.3629
Post-demographic dividend,40775.94794,41502.22229,43114.26885,45535.80188,45840.35361
Pre-demographic dividend,1524.986087,1316.745672,1338.960119,1449.855621,1681.190658
Puerto Rico,29242.04147,29978.08893,30328.47949,30679.91819,31830.5285
Qatar,68985.24334,61253.6218,63279.87675,71039.93082,66841.36232
Romania,8977.017482,9404.540059,10727.9822,12416.13432,12909.6104
Russia,9277.713867,8663.158203,10658.91309,11211.8877,11447.70117
Rwanda,733.9986299,729.5191338,758.3009665,771.7735112,810.0514121
Samoa,4084.360838,4147.070977,4307.59382,4231.814095,4351.942349
San Marino,43146.82404,44359.47977,45192.02798,47950.68806,46630.14431
Sao Tome and Principe,1298.109466,1434.870181,1555.794778,1825.599718,1935.293182
Saudi Arabia,23256.15496,22267.72171,23929.29071,29360.0659,29566.79338
Senegal,1218.006136,1266.439572,1356.805184,1452.556126,1431.181289
Serbia,5820.321558,5982.370301,6548.036538,7559.861657,7755.632986
Seychelles,15333.10517,16566.9946,17480.36519,18440.23405,19141.51187
Sierra Leone,964.5759809,844.4164112,779.1860078,845.9145405,843.7125178
Singapore,55645.60686,57005.58872,61236.25127,66881.6067,65952.0379
Sint Maarten (Dutch part),37839.62838,37308.61478,34701.30585,31708.31101,34861.46953
Slovakia,16442.07609,16636.07691,17645.52987,19573.3717,19406.05897
Slovenia,20697.27485,21447.83778,23303.07771,25888.04811,25814.16872
Small states,10446.85034,10486.21611,11304.50508,12057.78858,11990.4671
Solomon Islands,2045.477215,2082.623831,2143.576705,2278.199086,2223.658909
Somalia,445.5830801,460.9284906,510.9399523,509.4972738,539.9548162
South Africa,6112.273825,5651.205852,6618.335083,6914.178032,6533.71121
South Asia,1570.541425,1722.907034,1956.067076,1988.366333,2067.059757
South Asia (IDA & IBRD),1570.541425,1722.907034,1956.067076,1988.366333,2067.059757
South Sudan,1080.147186,,,,
Spain,25982.44162,26755.60611,28381.34256,30602.42129,29786.52457
Sri Lanka,4057.715835,4149.191908,4398.888281,4358.560959,4081.947727
St. Kitts and Nevis,20328.80035,21387.54155,22464.98996,22901.38164,23595.49232
St. Lucia,10334.98608,10638.12694,11333.11238,11642.69847,11794.05972
St. Martin (French part),,,,,19033.06496
St. Vincent and the Grenadines,7353.735561,7656.900429,7988.04445,8428.126772,8740.594252
Sub-Saharan Africa,1646.449411,1455.035253,1546.917742,1620.541408,1795.561279
Sub-Saharan Africa (excluding high income),1763.27463,1545.279483,1641.3924,1718.423461,1907.224994
Sub-Saharan Africa (IDA & IBRD countries),1646.449411,1455.035253,1546.917742,1620.541408,1795.561279
Sudan,1292.379639,1033.215942,966.5056763,731.0274658,709.9752808
Suriname,8813.617054,5644.206106,6049.521286,6665.741805,6629.667752
Sweden,51188.16521,51703.50883,53210.22333,54018.45544,51648.98928
Switzerland,83806.4476,82153.07454,82254.37693,85217.36915,84121.93103
Syria,847.7316319,656.3490586,851.5020053,1098.066864,1109.53926
Tajikistan,956.9163109,788.7104817,829.4571476,834.2884046,871.0223729
Tanzania,939.1273193,953.0107422,986.6740112,1023.106262,1063.32251
Thailand,5688.853354,5833.577156,6413.091825,7099.776501,7605.696578
Timor-Leste,1319.59295,1335.543911,1266.177711,1219.465997,1562.364581
Togo,751.0519876,772.5813576,792.765701,851.1205612,826.255209
Tonga,4123.90324,3987.986262,4365.929328,4675.047913,4788.833423
Trinidad & Tobago,19887.23277,17449.15388,17566.09997,17571.49874,17212.61289
Tunisia,4014.947737,3847.803544,3619.032473,3628.103665,3528.872133
Turkey,11064.64945,10984.36432,10756.38777,9684.118199,9395.23378
Turkmenistan,5759.497904,5686.98041,5828.481662,6125.051697,5998.001743
Turks and Caicos Islands,29457.01407,31373.56127,30014.23095,31625.61659,31780.52171
Tuvalu,3357.834177,3808.69755,4165.663387,4466.120349,5115.13076
Uganda,862.9346104,752.6965717,765.2183323,792.1657002,822.17115
Ukraine,2094.473877,2158.461182,2604.287598,3059.051758,3619.861572
United Arab Emirates,44910.335,42721.09994,43733.61923,47135.35919,45938.60736
United Kingdom,45255.34492,41257.90855,40916.81151,43702.99763,43158.74113
United States,56572.9189,57638.10184,59635.09844,62499.87444,64746.45068
